,xrsa,xrsb,xrsa_quality,xrsb_quality
2024-05-14 14:17:00,1.4088766e-07,5.124489e-06,0,0
2024-05-14 14:18:00,1.3960803e-07,5.1079296e-06,0,0
2024-05-14 14:19:00,1.4209898e-07,5.0984763e-06,0,0
2024-05-14 14:20:00,1.3996402e-07,5.0805083e-06,0,0
2024-05-14 14:21:00,1.3951428e-07,5.0569306e-06,0,0
2024-05-14 14:22:00,1.3853318e-07,5.031753e-06,0,0
2024-05-14 14:23:00,1.3847502e-07,5.0281387e-06,0,0
2024-05-14 14:24:00,1.4284302e-07,5.0230005e-06,0,0
2024-05-14 14:25:00,1.4251424e-07,5.0107355e-06,0,0
2024-05-14 14:26:00,1.4264363e-07,4.990272e-06,0,0
2024-05-14 14:27:00,1.3923612e-07,4.974389e-06,0,0
2024-05-14 14:28:00,1.4097598e-07,4.9514965e-06,0,0
2024-05-14 14:29:00,1.3876533e-07,4.9281425e-06,0,0
2024-05-14 14:30:00,1.3482875e-07,4.907113e-06,0,0
2024-05-14 14:31:00,1.3502515e-07,4.896489e-06,0,0
2024-05-14 14:32:00,1.3597163e-07,4.8888664e-06,0,0
2024-05-14 14:33:00,1.3637137e-07,4.8945703e-06,0,0
2024-05-14 14:34:00,1.3944319e-07,4.9024384e-06,0,0
2024-05-14 14:35:00,1.4165094e-07,4.905816e-06,0,0
2024-05-14 14:36:00,1.5060857e-07,4.9363794e-06,0,0
2024-05-14 14:37:00,1.5783999e-07,4.977483e-06,0,0
2024-05-14 14:38:00,1.6518206e-07,5.019701e-06,0,0
2024-05-14 14:39:00,1.7115391e-07,5.0590265e-06,0,0
2024-05-14 14:40:00,1.7659526e-07,5.0895164e-06,0,0
2024-05-14 14:41:00,1.7833555e-07,5.122475e-06,0,0
2024-05-14 14:42:00,1.797519e-07,5.133162e-06,0,0
2024-05-14 14:43:00,1.7824256e-07,5.1284783e-06,0,0
2024-05-14 14:44:00,1.8050737e-07,5.1508937e-06,0,0
2024-05-14 14:45:00,1.8608463e-07,5.1957077e-06,0,0
2024-05-14 14:46:00,2.0181794e-07,5.2775076e-06,0,0
2024-05-14 14:47:00,2.199537e-07,5.390394e-06,0,0
2024-05-14 14:48:00,2.6379072e-07,5.6134472e-06,0,0
2024-05-14 14:49:00,2.9297075e-07,5.817136e-06,0,0
2024-05-14 14:50:00,2.801611e-07,5.8511746e-06,0,0
2024-05-14 14:51:00,2.816284e-07,5.893422e-06,0,0
2024-05-14 14:52:00,2.8270938e-07,5.923256e-06,0,0
2024-05-14 14:53:00,2.673887e-07,5.8858614e-06,0,0
2024-05-14 14:54:00,2.5713265e-07,5.8513806e-06,0,0
2024-05-14 14:55:00,2.4901465e-07,5.815758e-06,0,0
2024-05-14 14:56:00,2.3915783e-07,5.7667967e-06,0,0
2024-05-14 14:57:00,2.2617685e-07,5.6961317e-06,0,0
2024-05-14 14:58:00,2.1576325e-07,5.6286167e-06,0,0
2024-05-14 14:59:00,2.1379373e-07,5.582419e-06,0,0
2024-05-14 15:00:00,2.1025365e-07,5.5560777e-06,0,0
2024-05-14 15:01:00,2.1233639e-07,5.542982e-06,0,0
2024-05-14 15:02:00,2.0400768e-07,5.4611933e-06,0,0
2024-05-14 15:03:00,2.0332489e-07,5.405158e-06,0,0
2024-05-14 15:04:00,2.0447378e-07,5.3805416e-06,0,0
2024-05-14 15:05:00,2.0918361e-07,5.3815643e-06,0,0
2024-05-14 15:06:00,2.1560835e-07,5.3869107e-06,0,0
2024-05-14 15:07:00,2.191747e-07,5.399228e-06,0,0
2024-05-14 15:08:00,2.2498777e-07,5.4180073e-06,0,0
2024-05-14 15:09:00,2.3412795e-07,5.442278e-06,0,0
2024-05-14 15:10:00,2.4501173e-07,5.465929e-06,0,0
2024-05-14 15:11:00,2.4565887e-07,5.4675056e-06,0,0
2024-05-14 15:12:00,2.4404713e-07,5.4598236e-06,0,0
2024-05-14 15:13:00,2.426858e-07,5.446957e-06,0,0
2024-05-14 15:14:00,2.418161e-07,5.4265893e-06,0,0
2024-05-14 15:15:00,2.5221294e-07,5.424327e-06,0,0
2024-05-14 15:16:00,2.7160007e-07,5.4472416e-06,0,0
